,PA01H:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RUR_S:PM25,BP_EST:PM25,VITRY:PM25,A1:PM25,AUT:PM25,GEN:PM25,RAMBO:PM25,BOB:PM25,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Zone Rurale Sud - Bois Herpin,Boulevard Périphérique Est,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Boulevard Péripherique Auteuil,GENNEVILLIERS,Rambouillet,BOBIGNY,0
,PA01H,RN6,RUR_N,RUR-SE,GON,RUR_S,BP_EST,VITRY,A1,AUT,GEN,RAMBO,BOB,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2020/01/01 01:00:00+00,64.400000,39.400000,31.900000,12.300000,42,7.200000,90.600000,72.100000,50.600000,95.600000,77.800000,9.800000,61.400000,5
2020/01/01 02:00:00+00,66,37.900000,32.600000,11.700000,51.800000,6.100000,52.400000,32.900000,53.800000,47.900000,53.100000,8.800000,56.800000,6
2020/01/01 03:00:00+00,44.900000,21.600000,59.500000,9.800000,43.100000,7.800000,36.600000,17.200000,38.400000,31.800000,51.600000,6.200000,39.400000,7
2020/01/01 04:00:00+00,25.100000,18.400000,44.600000,10.200000,28.600000,,21.200000,13.600000,22.800000,15,31.400000,6.900000,22.700000,8
2020/01/01 05:00:00+00,13.600000,18.400000,21.900000,10.700000,23.800000,13.100000,27.500000,13.600000,15.300000,17.100000,14.900000,8.500000,7.400000,9
2020/01/01 06:00:00+00,13.200000,13.700000,9.400000,10.600000,13.700000,13.200000,23.800000,16.600000,13.900000,14.200000,8.300000,7.600000,15,10
2020/01/01 07:00:00+00,17.400000,17.100000,9.300000,12,12.500000,,19.900000,13.500000,13,14.900000,7.800000,10.800000,15.500000,11
2020/01/01 08:00:00+00,17.300000,12.800000,9.400000,9.300000,11.400000,13.900000,19.600000,,17.200000,16.900000,12.400000,14.100000,14.300000,12
2020/01/01 09:00:00+00,17.100000,19.300000,7.700000,11.300000,14.100000,12,20.500000,,13.900000,17.600000,14.500000,10.800000,17.500000,13
2020/01/01 10:00:00+00,16.500000,13.400000,10.600000,8.500000,17,11.600000,22.100000,16,20.100000,13.500000,13.700000,10.400000,14.700000,14
2020/01/01 11:00:00+00,17.100000,16.500000,9.400000,9.200000,17.100000,11.200000,24.700000,17.600000,17.900000,16.200000,12.300000,11.100000,20.200000,15
2020/01/01 12:00:00+00,17.800000,17.100000,10.900000,8.200000,17.100000,7.400000,22.200000,21.700000,19.300000,22.800000,13.700000,15.900000,20.300000,16
2020/01/01 13:00:00+00,21.700000,18.100000,13.500000,5.800000,18,10.400000,30.800000,17.800000,23.900000,16.200000,17.300000,10.100000,23.400000,17
2020/01/01 14:00:00+00,26,19,11.800000,6.500000,20.900000,8.100000,21.200000,20.500000,23.500000,24.900000,20.100000,11,19.100000,18
2020/01/01 15:00:00+00,23.300000,18.400000,17.100000,10.500000,22.300000,9.100000,28.100000,21.900000,25.800000,24,21.300000,12.800000,18.800000,19
2020/01/01 16:00:00+00,22.300000,17.200000,11.700000,14.600000,20,8.200000,30.900000,13.200000,16.100000,23.400000,19.900000,12.600000,19.900000,20
2020/01/01 17:00:00+00,23.100000,20.900000,14.600000,15.900000,21.300000,8.600000,26.500000,18,22.400000,24.900000,18.800000,14.200000,19.700000,21
2020/01/01 18:00:00+00,19.800000,34,14.600000,11.700000,20.100000,8.300000,26.700000,18.400000,17.200000,21.900000,18.900000,13.700000,19.100000,22
2020/01/01 19:00:00+00,20.800000,23,16.100000,12.900000,19.300000,,29.300000,18.100000,19,23.600000,17.200000,9.600000,20.900000,23
2020/01/01 20:00:00+00,21.600000,29.900000,14.800000,13.700000,20.100000,,27.200000,16.900000,19.400000,21.800000,17.500000,10.200000,26.900000,24
2020/01/01 21:00:00+00,22.800000,18.800000,15.800000,10.500000,15.600000,,26.800000,19.900000,24,16.700000,17.600000,9.100000,20.200000,25
2020/01/01 22:00:00+00,20.600000,19.100000,16.200000,8,14.600000,6,19.300000,20.500000,31.100000,18.600000,17.700000,11.900000,21.200000,26
2020/01/01 23:00:00+00,21.300000,18.100000,10.500000,8.300000,17.400000,4.500000,21.100000,,21.100000,18.600000,17.300000,8.900000,20.200000,27
2020/01/02 00:00:00+00,21.500000,15.300000,13,6.400000,16.300000,6.100000,19.400000,,14.400000,18.100000,17.100000,4.600000,16.900000,28
2020/01/02 01:00:00+00,16.800000,10,10.400000,5.700000,12.900000,7.700000,20.500000,,15.900000,16.200000,16.100000,4.400000,14.900000,29
2020/01/02 02:00:00+00,16,11.100000,7,6.700000,12.800000,4.700000,13.100000,,16.800000,13,16.200000,4.100000,12.900000,30
2020/01/02 03:00:00+00,16.300000,10.600000,5.100000,7.700000,14.600000,2.600000,16.600000,9.700000,13.300000,16.600000,16.300000,3.700000,12.300000,31
2020/01/02 04:00:00+00,14.300000,8.500000,4.400000,4,9.400000,3.300000,15.400000,9.800000,13.900000,13.600000,14.100000,4.800000,11.600000,32
2020/01/02 05:00:00+00,12.400000,10.500000,6.100000,3.600000,8.700000,2.800000,19.200000,10.100000,17.600000,11.300000,15.600000,10.400000,13.500000,33
2020/01/02 06:00:00+00,12.800000,26.100000,6.800000,3.200000,11.800000,2.100000,24.800000,11.800000,18.700000,16.300000,17.100000,8.500000,13.200000,34
2020/01/02 07:00:00+00,14.100000,15.600000,8.300000,3.600000,11.300000,3.900000,23.400000,9.500000,22.800000,18.600000,16.300000,5.100000,8.700000,35
2020/01/02 08:00:00+00,13.600000,15.700000,9.400000,3,16.500000,4.900000,13.600000,13.100000,15.800000,15.700000,14.100000,6.500000,8.400000,36
2020/01/02 09:00:00+00,13.400000,8,6.700000,0.800000,16.500000,4.100000,24.600000,10.300000,18.900000,15.200000,10.800000,6,14.600000,37
2020/01/02 10:00:00+00,15.900000,18.100000,11,1.600000,15.300000,3.300000,24.500000,9,15.400000,20.900000,8.100000,6,12.900000,38
2020/01/02 11:00:00+00,15.400000,10.500000,10.500000,2,13.100000,3.800000,20.700000,7.900000,16.600000,12.800000,7.600000,4.100000,13.400000,39
2020/01/02 12:00:00+00,13.900000,8.800000,7.800000,0,11.600000,5.100000,13.200000,6.500000,10.400000,12.200000,7.200000,3.500000,10.500000,40
2020/01/02 13:00:00+00,12.800000,12.300000,6.800000,0.400000,12.200000,4.800000,14.100000,6.500000,9.400000,11,5.200000,7.300000,7,41
2020/01/02 14:00:00+00,10.800000,11.800000,5.100000,2.600000,7.300000,2.200000,14,6.100000,6.500000,10.400000,4.800000,7.300000,12.700000,42
2020/01/02 15:00:00+00,10.100000,10.400000,2.400000,1.300000,7,0,16.100000,5.400000,9.700000,16,3.400000,6.800000,8.900000,43
2020/01/02 16:00:00+00,9.700000,8.700000,7.700000,0,6.700000,5.400000,15.400000,7.700000,10.500000,10.300000,3.800000,7.100000,7.100000,44
2020/01/02 17:00:00+00,8,9.300000,6.800000,1.700000,4.800000,8,15,9.100000,15.300000,15.900000,2.100000,8.700000,7.100000,45
2020/01/02 18:00:00+00,9.500000,7.800000,5.900000,3.600000,13.900000,6.100000,14.600000,9.200000,15,11.300000,5.700000,9.400000,8.200000,46
2020/01/02 19:00:00+00,12.700000,10.500000,6.300000,6.300000,8.700000,7.200000,13.600000,14,12.800000,11.400000,6,8.200000,10.700000,47
2020/01/02 20:00:00+00,17.700000,10.700000,13.100000,5.900000,11.900000,7,21,11.500000,21.700000,11.300000,7.300000,13,10.100000,48
2020/01/02 21:00:00+00,16.600000,8.300000,11.300000,4.500000,13.700000,7.100000,15.100000,10.300000,18.500000,8.400000,9.400000,9.700000,16.400000,49
2020/01/02 22:00:00+00,13.900000,11.400000,8.700000,7.400000,10.200000,7.600000,15.500000,11.800000,19.100000,8.300000,8,12.300000,6.800000,50
2020/01/02 23:00:00+00,12.200000,8.800000,8.100000,7.100000,7.800000,4.500000,18.100000,13.600000,14,15.100000,6.300000,12.600000,8.300000,51
2020/01/03 00:00:00+00,10.700000,8.100000,8.100000,3,7.400000,4.900000,15.700000,9.900000,13,5.100000,7.300000,12.200000,14.100000,52
2020/01/03 01:00:00+00,12,9.300000,7.500000,1.800000,6.400000,4.800000,11.500000,7.200000,7.400000,8.200000,7.200000,8.900000,8.200000,53
2020/01/03 02:00:00+00,10,7.700000,10.500000,3,8.400000,6,12.200000,9.700000,6.400000,8.800000,6.200000,9.500000,6.800000,54
2020/01/03 03:00:00+00,6.600000,12,9.400000,1.600000,9.100000,7.100000,13.500000,10.300000,7.300000,8.600000,10,13.100000,7.400000,55
2020/01/03 04:00:00+00,6.600000,15.300000,10,2.700000,8.100000,7.500000,13.600000,7.600000,6.800000,10.100000,8.400000,9.800000,6.100000,56
