,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/01 01:00:00+00,0.431000,36,33.500000,,,,11.500000,5
2021/01/01 02:00:00+00,0.380000,33,32.800000,,,,10.900000,6
2021/01/01 03:00:00+00,0.399000,30.100000,31.200000,,,,11.200000,7
2021/01/01 04:00:00+00,0.391000,28.700000,30.200000,,,,9.800000,8
2021/01/01 05:00:00+00,0.323000,29.800000,26.300000,,,,17.900000,9
2021/01/01 06:00:00+00,0.309000,20.200000,21.200000,,,,20,10
2021/01/01 07:00:00+00,0.283000,20.800000,21.700000,,,,19.400000,11
2021/01/01 08:00:00+00,0.261000,18,18,,,,19.200000,12
2021/01/01 09:00:00+00,0.272000,17.200000,17.300000,,,,17,13
2021/01/01 10:00:00+00,0.238000,15.800000,16,,,,23.200000,14
2021/01/01 11:00:00+00,0.226000,16.300000,14.200000,,,,33.400000,15
2021/01/01 12:00:00+00,0.187000,12,11.300000,,,,37,16
2021/01/01 13:00:00+00,0.179000,8.600000,,,,,37.500000,17
2021/01/01 14:00:00+00,0.221000,10.800000,,,,,26.300000,18
2021/01/01 15:00:00+00,0.192000,14.900000,13.500000,,,,35.600000,19
2021/01/01 16:00:00+00,0.181000,10,9.700000,,,,40.400000,20
2021/01/01 17:00:00+00,0.193000,12.600000,12,,,,37.700000,21
2021/01/01 18:00:00+00,0.213000,13.600000,13.800000,,,,33.300000,22
2021/01/01 19:00:00+00,0.216000,12.800000,14.700000,,,,35.900000,23
2021/01/01 20:00:00+00,0.261000,16.100000,14.700000,,,,23.600000,24
2021/01/01 21:00:00+00,0.286000,18.900000,18.900000,,,,13.200000,25
2021/01/01 22:00:00+00,0.295000,18.500000,,,,,14.400000,26
2021/01/01 23:00:00+00,0.379000,21,25,,,,10.400000,27
2021/01/02 00:00:00+00,0.380000,28.900000,27.800000,,,,6.800000,28
2021/01/02 01:00:00+00,0.379000,29.200000,30.700000,,,,6.200000,29
2021/01/02 02:00:00+00,0.422000,31.400000,29.400000,,,,6,30
2021/01/02 03:00:00+00,0.469000,32,31.300000,,,,4.700000,31
2021/01/02 04:00:00+00,0.451000,34.600000,34.300000,,,,5.200000,32
