,PA01H:PM25,DEF:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RAMBO:PM25,BP_EST:PM25,RUR_S:PM25,BOB:PM25,GEN:PM25,VITRY:PM25,A1:PM25,AUT:PM25,RN20:PM25,OBJECTID
,PARIS 1er Les Halles,LA DEFENSE,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Rambouillet,Boulevard Périphérique Est,Zone Rurale Sud - Bois Herpin,BOBIGNY,GENNEVILLIERS,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Boulevard Péripherique Auteuil,RN20 Montlhéry,0
,PA01H,DEF,RN6,RUR_N,RUR-SE,GON,RAMBO,BP_EST,RUR_S,BOB,GEN,VITRY,A1,AUT,RN20,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/01 01:00:00+00,33.500000,,50.600000,16.100000,13.300000,26.200000,20.400000,24.900000,16.100000,35.600000,52.500000,43.500000,47.700000,46,,5
2021/01/01 02:00:00+00,32.800000,,50.500000,18.400000,12.500000,33.200000,27.600000,28.400000,13.300000,38.200000,51.400000,39.600000,37.800000,45.800000,,6
2021/01/01 03:00:00+00,31.200000,,50.700000,21.100000,12,47.400000,27.700000,27.500000,15,37.600000,48.500000,37.900000,42.800000,41.900000,,7
2021/01/01 04:00:00+00,30.200000,,43.100000,14.200000,19.300000,19.400000,17.500000,29.600000,20.500000,35.100000,46.300000,39.400000,45.700000,34.700000,,8
2021/01/01 05:00:00+00,26.300000,,47.700000,10,19.900000,18.700000,17.400000,29.600000,19.700000,30,42.800000,35.400000,47.200000,33.800000,,9
2021/01/01 06:00:00+00,21.200000,,45.600000,10.200000,30.100000,13.900000,25.600000,27.600000,18.100000,26.900000,39.300000,29,40.200000,34.100000,,10
2021/01/01 07:00:00+00,21.700000,,41.700000,13,28.600000,12,17.600000,23.600000,21.200000,24.600000,32,30.700000,31.900000,32.800000,,11
2021/01/01 08:00:00+00,18,,43.500000,14.900000,27,13.100000,21.100000,20.800000,18.400000,16,29.300000,17.300000,25.600000,29.900000,,12
2021/01/01 09:00:00+00,17.300000,,44.700000,20.100000,32.500000,12.600000,25,20.100000,24.400000,16.400000,21.300000,16.900000,23,28.400000,,13
2021/01/01 10:00:00+00,16,,48.100000,16.900000,28.800000,11.500000,20.400000,19.700000,25.400000,10.900000,15.900000,22.100000,21.400000,23.800000,,14
2021/01/01 11:00:00+00,14.200000,,40.400000,15.300000,13,11.600000,25.700000,18.900000,23.900000,13.900000,12.800000,15.500000,16.700000,26.200000,,15
2021/01/01 12:00:00+00,11.300000,,50.600000,8.100000,20.200000,10.600000,13.500000,11.500000,17.500000,10.800000,15.800000,14.100000,22,25.100000,,16
2021/01/01 13:00:00+00,,,54.700000,7.400000,23.800000,9.300000,8.600000,13,22.700000,9.300000,17.500000,11.200000,16.800000,25.800000,,17
2021/01/01 14:00:00+00,,,47.300000,5.900000,22.400000,8.500000,6.300000,19,18.100000,10.400000,7.900000,11.800000,13,17.800000,,18
2021/01/01 15:00:00+00,13.500000,,46.200000,10.900000,23.700000,9.200000,5.100000,19.900000,22.400000,9.200000,8.300000,18.100000,17.300000,11.700000,,19
2021/01/01 16:00:00+00,9.700000,,44.700000,18.500000,20.300000,19.800000,4.500000,15.400000,22.800000,10,11.500000,8.400000,19.700000,15.100000,,20
2021/01/01 17:00:00+00,12,,42.400000,47.400000,17.400000,15.600000,15.200000,17.500000,17.100000,15.500000,13,16.200000,25.400000,17.100000,,21
2021/01/01 18:00:00+00,13.800000,,43.900000,46.800000,21.100000,23.500000,23.400000,19.400000,17.700000,23.600000,22.700000,15.900000,25.300000,16.200000,,22
2021/01/01 19:00:00+00,14.700000,,39.600000,42.400000,27.900000,33,47,24.200000,20,23.800000,32.800000,25.500000,29,17.100000,,23
2021/01/01 20:00:00+00,14.700000,,45.200000,37.100000,26,34.400000,61.700000,20.900000,21.200000,28.400000,37.100000,23,36.300000,45.600000,,24
2021/01/01 21:00:00+00,18.900000,,41,37.800000,16.600000,40.900000,75.200000,15.700000,24.700000,47,36.400000,23.600000,44.900000,55,,25
2021/01/01 22:00:00+00,,,44.900000,39.100000,17,28,61.700000,26.300000,26.400000,35.500000,38.700000,30.900000,47.700000,45.100000,,26
2021/01/01 23:00:00+00,25,,47.400000,46.500000,14.700000,30.800000,62.500000,25.200000,26.800000,37.900000,,33.900000,44.100000,44.600000,,27
2021/01/02 00:00:00+00,27.800000,,46.900000,28.100000,23.200000,32.600000,61,31.300000,20.900000,44.400000,,20.500000,46.900000,36.900000,,28
2021/01/02 01:00:00+00,30.700000,,48.600000,24.600000,25.900000,29.200000,53,40.600000,30.500000,48.400000,,22,52.300000,40.900000,,29
2021/01/02 02:00:00+00,29.400000,,36,18.600000,29.100000,25.900000,45.300000,23.600000,23.400000,49.200000,,33,44.900000,42.100000,,30
2021/01/02 03:00:00+00,31.300000,,33.700000,9.400000,29.500000,26.600000,40.500000,27.100000,26.800000,47.600000,,28.100000,50.600000,37,,31
2021/01/02 04:00:00+00,34.300000,,25.400000,11.700000,34.500000,31,34,29.600000,30.100000,44.800000,,31.100000,54.800000,40.500000,,32
2021/01/02 05:00:00+00,33.600000,,31.200000,13.400000,33.900000,25.100000,35.300000,35.700000,27.300000,44.400000,,34.100000,50,38.500000,,33
2021/01/02 06:00:00+00,34.800000,,32.100000,9.800000,27.900000,25.200000,25.800000,34.800000,26.200000,41.800000,,33.600000,58,39.900000,,34
2021/01/02 07:00:00+00,,,31,15.100000,25.600000,29.900000,28.300000,41.800000,24.700000,49.200000,,34.700000,57.700000,34.400000,,35
2021/01/02 08:00:00+00,,,28.800000,26,25.100000,32.400000,37.600000,39.700000,27,45.700000,,32.200000,55.400000,47.700000,,36
2021/01/02 09:00:00+00,38.100000,,34.500000,26.300000,17,33.500000,30.300000,43.800000,22.400000,46.500000,,43.200000,53.800000,40.100000,,37
2021/01/02 10:00:00+00,36.100000,,33.700000,23.900000,23.900000,37.100000,31.100000,31.600000,26.400000,50,,36.300000,55.600000,42.200000,,38
2021/01/02 11:00:00+00,38.100000,,35.400000,30.600000,17.400000,33.700000,28.600000,36.600000,19.200000,42.700000,,36.300000,55.400000,45.500000,,39
2021/01/02 12:00:00+00,37.200000,,35,34.600000,17.800000,46.400000,19.300000,27.700000,20.800000,37.900000,,36,62.800000,42,,40
2021/01/02 13:00:00+00,35.800000,,41.600000,33.400000,17.500000,45.700000,4,27.600000,29.300000,40.600000,,31.200000,58.800000,38.300000,,41
2021/01/02 14:00:00+00,,,42.300000,37,21.200000,35.100000,6.800000,25.200000,19.800000,37.900000,,26.900000,72.300000,40.800000,,42
2021/01/02 15:00:00+00,,,39.300000,38,21.200000,34.700000,11.900000,30.200000,15.400000,40.700000,,21.200000,63.400000,41,,43
2021/01/02 16:00:00+00,40.900000,,49.700000,35,19,35.500000,16.500000,30.600000,14.500000,48,,22.400000,57.400000,41.100000,,44
