Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_12_8","NOX as NO2","Nitrogen oxides (air)","P1Y-hr-per50","1 year 50 percentile","2021","26.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 21:56:21",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_12_8","NOX as NO2","Nitrogen oxides (air)","P1Y-hr-max","1 year hour max","2021","441.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 21:38:29",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_12_8","NOX as NO2","Nitrogen oxides (air)","P1Y-hr-min","1 year hour min","2021","2.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 22:28:19",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_12_8","NOX as NO2","Nitrogen oxides (air)","P3Y","3 subsequent calendar years mean","2021","46.172","ug/m3","94.64","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","16/11/2021 21:12:00",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_12_8","NOX as NO2","Nitrogen oxides (air)","P1Y","Annual mean / 1 calendar year","2021","34.985","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 20:26:07",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_7_8","NO","Nitrogen monoxide (air)","P1Y-hr-per50","1 year 50 percentile","2021","3.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 21:56:21",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_7_8","NO","Nitrogen monoxide (air)","P1Y-hr-max","1 year hour max","2021","242.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 21:38:29",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_7_8","NO","Nitrogen monoxide (air)","P1Y-hr-min","1 year hour min","2021","1.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 22:28:19",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_7_8","NO","Nitrogen monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","6.818","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 20:26:07",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_8_8","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2021","23.000","ug/m3","86.85","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 22:04:21",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_8_8","NO2","Nitrogen dioxide (air)","P1Y-hr-per50","1 year 50 percentile","2021","21.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 21:56:21",""
"Spain","NET_ES209A","CCAA Cataluña","ES0691A","Barcelona (el Poblenou)","SP_08019004_8_8","NO2","Nitrogen dioxide (air)","P1Y-hr-max-per99.79","1 year 99.79 %ile of hourly values in a given year","2021","81.000","ug/m3","86.67","3","Background","Urban","2.2045","41.4039","3.0","Barcelona                                                                       ","ES002K1                                           ","3186049","E2a/UTD AQ e-Reporting","16/11/2021 22:01:08",""
