#### EXPORT DONNEES METEO POUR "BARCELONE" (LAT/LON: 41.3850639/2.1734035)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2021-01-01,9,8,17,8,8,7,0.7,74,10,1007,75.75,9,4,6,122,353,116,0,2,5.2,météo défavorable
2021-01-02,9,6,12,6,8,9,0.6,67,9.875,1009,78.125,9,1,3,116,176,176,0,2,3.4,météo défavorable
2021-01-03,11,5,13,6,7,10,1.1,46,9.75,1012,38.625,11,2,2,353,116,113,0,2,8.7,météo très défavorable
2021-01-04,8,5,23,5,7,8,0,65,10,1012,19,8,0,2,116,116,116,0,3,8.7,météo très défavorable
2021-01-05,8,4,10,4,6,6,0,67,10,1014,15.125,8,0,1,116,116,116,0,3,8.7,météo très défavorable
2021-01-06,9,6,10,6,9,6,0.3,63,10,1017,32,9,0,4,113,113,122,0,2,7,météo défavorable
2021-01-07,8,6,15,6,7,8,0.7,67,9,1016,77.25,8,0,3,266,122,116,0,3,5.2,météo très défavorable
2021-01-08,8,6,9,6,7,8,0.1,60,10,1015,78.625,8,0,4,116,116,122,0,2,5.2,météo très défavorable
2021-01-09,7,5,40,5,7,7,16.2,85,7.125,1011,99.375,7,4,1,296,296,296,0,2,3.5,météo très défavorable
2021-01-10,7,6,32,6,6,4,5.2,83,6.25,1016,89.5,7,5,1,263,266,296,0,2,3.5,météo très défavorable
2021-01-11,8,7,9,7,7,5,0.5,77,9,1023,80,8,3,5,122,176,176,0,2,3.5,météo très défavorable
2021-01-12,9,4,14,4,6,9,0,62,10,1026,14.5,9,0,0,116,116,116,0,3,8.7,météo très défavorable
2021-01-13,12,6,10,6,10,11,0,58,10,1027,4.375,13,4,4,116,116,116,0,3,8.7,météo défavorable
2021-01-14,14,6,13,7,9,14,0,75,10,1027,2.625,14,6,3,116,116,113,0,3,8.7,météo correcte
2021-01-15,13,8,10,8,11,11,0,69,10,1023,5.625,13,4,6,113,116,116,0,4,8.7,météo correcte
2021-01-16,11,6,10,6,9,11,0,58,10,1025,17.125,11,3,4,119,116,116,0,3,8.7,météo défavorable
2021-01-17,14,8,11,8,11,14,0,62,10,1026,5,14,5,6,116,116,116,0,4,8.7,météo correcte
2021-01-18,12,9,13,9,11,10,0,76,10,1027,21.75,13,8,7,119,116,116,0,4,8.7,météo défavorable
2021-01-19,13,8,10,8,11,10,0,64,10,1027,5.5,13,10,7,116,116,116,0,4,8.7,météo correcte
2021-01-20,12,9,15,9,11,12,0,78,10,1020,47,12,7,9,116,119,116,0,4,7,météo défavorable
2021-01-21,14,10,29,10,13,14,0,76,10,1011,32.625,14,7,8,116,116,116,0,4,8.7,météo correcte
2021-01-22,14,11,45,11,13,12,5.9,82,9.75,1010,40.5,14,9,9,116,353,116,0,4,5.3,météo correcte
2021-01-23,13,9,39,9,11,12,0.2,60,10,1008,29.125,13,4,5,116,116,116,0,3,8.7,météo correcte
2021-01-24,14,13,18,13,13,13,0.9,68,9.625,1009,16.375,14,8,12,116,116,116,0,3,8.7,météo correcte
2021-01-25,12,10,24,10,11,10,0.3,65,9.375,1015,49.75,12,7,7,116,116,119,0,4,7,météo défavorable
2021-01-26,12,10,15,10,11,9,0.3,81,10,1022,61.125,12,8,7,176,176,116,0,3,8.3,météo défavorable
2021-01-27,14,10,9,10,13,14,0.1,57,10,1022,20.75,14,7,9,116,116,116,0,3,9.9,météo correcte
2021-01-28,16,12,11,12,14,14,0,75,10,1022,23.125,16,12,11,116,116,119,0,4,9.9,météo correcte
2021-01-29,18,13,22,13,17,17,0,77,10,1018,11.75,18,11,12,116,116,116,0,4,10,météo favorable
2021-01-30,16,13,38,13,16,14,0,79,10,1015,9,16,12,12,116,116,116,0,4,10,météo correcte
2021-01-31,16,10,30,10,13,16,0,65,10,1005,27.5,16,8,6,119,116,116,0,4,10,météo correcte
2021-02-01,17,13,21,13,15,17,0,66,10,1010,4.75,17,9,11,116,116,116,0,4,10.1,météo correcte
2021-02-02,16,12,10,12,15,16,0,63,10,1015,18.5,16,9,11,116,116,116,0,4,10.1,météo correcte
2021-02-03,17,13,21,13,16,16,0,72,10,1014,19.625,17,9,12,113,113,122,0,5,10,météo correcte
2021-02-04,16,13,5,13,15,15,0,80,10,1014,54.25,16,10,13,116,116,116,0,4,6.7,météo correcte
2021-02-05,16,13,18,13,15,15,0,74,10,1012,10.75,16,10,12,116,116,116,0,4,10.6,météo correcte
2021-02-06,15,13,17,13,15,14,0,85,10,1004,21.875,15,11,12,116,116,116,0,4,10.6,météo correcte
2021-02-07,13,10,13,11,10,8,4.4,79,8.625,1005,73,13,9,9,176,296,266,0,3,5.3,météo défavorable
2021-02-08,15,10,28,10,13,14,0,64,10,1003,46.375,15,6,8,122,116,116,0,4,10.6,météo correcte
2021-02-09,13,9,23,9,13,10,2.7,67,8.625,1006,52,13,9,7,116,116,266,0,4,6.9,météo correcte
2021-02-10,14,10,16,10,11,14,3.9,71,9.75,1013,44.25,15,8,8,116,293,116,0,3,8.5,météo correcte
2021-02-11,14,10,10,10,13,13,0,64,10,1018,9.375,14,6,8,116,116,116,0,4,10.7,météo correcte
